,date,counts,Ranks
91,-184,4,426.0
883,454,4,426.0
1,-10,4,426.0
990,551,4,426.0
988,55,4,426.0
32,-13,4,426.0
51,-148,4,426.0
44,-141,4,426.0
899,469,4,426.0
901,470,4,426.0
909,478,4,426.0
910,479,4,426.0
68,-163,4,426.0
64,-16,4,426.0
61,-157,4,426.0
57,-153,4,426.0
919,487,4,426.0
40,-138,4,426.0
49,-146,4,426.0
939,505,4,426.0
940,506,4,426.0
949,514,4,426.0
952,517,4,426.0
894,464,4,426.0
953,518,4,426.0
958,522,4,426.0
976,539,4,426.0
734,319,4,426.0
638,232,4,426.0
740,324,4,426.0
1381,910,4,426.0
1072,628,4,426.0
1362,894,4,426.0
1284,822,4,426.0
1359,891,4,426.0
1092,646,4,426.0
1352,885,4,426.0
1350,883,4,426.0
1296,833,4,426.0
1298,835,4,426.0
1421,947,4,426.0
1080,635,4,426.0
1311,847,4,426.0
1314,85,4,426.0
1155,704,4,426.0
1336,87,4,426.0
1333,867,4,426.0
1081,636,4,426.0
1324,859,4,426.0
1327,861,4,426.0
1270,81,4,426.0
1066,622,4,426.0
1278,817,4,426.0
1347,880,4,426.0
1217,760,4,426.0
1203,748,4,426.0
743,327,4,426.0
1429,954,4,426.0
1430,955,4,426.0
1471,994,4,426.0
1475,998,4,426.0
1135,686,4,426.0
1469,992,4,426.0
1437,962,4,426.0
1121,673,4,426.0
1443,968,4,426.0
1083,638,4,426.0
1170,718,4,426.0
1198,743,4,426.0
1146,697,4,426.0
1145,695,4,426.0
1040,599,4,426.0
1132,683,4,426.0
1449,973,4,426.0
1453,977,4,426.0
1185,731,4,426.0
1380,91,4,426.0
1439,964,4,426.0
1420,946,4,426.0
181,-266,4,426.0
690,28,4,426.0
190,-274,4,426.0
191,-275,4,426.0
196,-28,4,426.0
224,-34,4,426.0
698,287,4,426.0
232,-41,4,426.0
242,-51,4,426.0
247,-56,4,426.0
252,-60,4,426.0
660,252,4,426.0
656,249,4,426.0
655,248,4,426.0
697,286,4,426.0
170,-256,4,426.0
96,-189,4,426.0
746,33,4,426.0
124,-213,4,426.0
131,-22,4,426.0
1220,763,4,426.0
137,-225,4,426.0
183,-268,4,426.0
735,32,4,426.0
180,-265,4,426.0
1391,92,4,426.0
1114,666,4,426.0
211,-293,4,426.0
1417,943,4,426.0
1416,942,4,426.0
1105,658,4,426.0
1404,931,4,426.0
1240,782,4,426.0
1402,93,4,426.0
1242,784,4,426.0
1230,772,4,426.0
1387,916,4,426.0
1021,581,4,426.0
1022,582,4,426.0
1245,788,4,426.0
1251,793,4,426.0
1061,618,4,426.0
0,-1,4,426.0
1265,805,4,426.0
1098,651,4,426.0
1153,702,4,426.0
700,289,3,249.0
701,29,3,249.0
640,234,3,249.0
645,239,3,249.0
871,443,3,249.0
749,332,3,249.0
1140,690,3,249.0
1125,677,3,249.0
1141,691,3,249.0
1142,692,3,249.0
995,556,3,249.0
688,278,3,249.0
687,277,3,249.0
1120,672,3,249.0
613,209,3,249.0
672,263,3,249.0
671,262,3,249.0
863,436,3,249.0
627,221,3,249.0
860,433,3,249.0
980,542,3,249.0
932,499,3,249.0
739,323,3,249.0
637,231,3,249.0
633,227,3,249.0
1171,719,3,249.0
756,339,3,249.0
760,343,3,249.0
764,347,3,249.0
1035,594,3,249.0
1178,725,3,249.0
794,374,3,249.0
618,213,3,249.0
1033,592,3,249.0
999,56,3,249.0
1189,735,3,249.0
1190,736,3,249.0
1192,738,3,249.0
668,26,3,249.0
1222,765,3,249.0
1112,664,3,249.0
662,254,3,249.0
918,486,3,249.0
1064,620,3,249.0
548,152,3,249.0
925,492,3,249.0
951,516,3,249.0
594,1922,3,249.0
1228,770,3,249.0
1003,563,3,249.0
587,188,3,249.0
585,186,3,249.0
1204,749,3,249.0
928,495,3,249.0
574,176,3,249.0
1015,576,3,249.0
945,510,3,249.0
580,181,3,249.0
257,-65,3,249.0
1219,762,3,249.0
1067,623,3,249.0
1223,766,3,249.0
1224,767,3,249.0
1157,706,3,249.0
653,246,3,249.0
1049,606,3,249.0
1186,732,3,249.0
605,201,3,249.0
915,483,3,249.0
1209,753,3,249.0
1065,621,3,249.0
1068,624,3,249.0
572,174,3,249.0
571,173,3,249.0
1017,578,3,249.0
565,168,3,249.0
559,162,3,249.0
547,151,3,249.0
1016,577,3,249.0
1250,792,3,249.0
711,299,3,249.0
1431,957,3,249.0
43,-140,3,249.0
534,139,3,249.0
518,129,3,249.0
1244,787,3,249.0
5,-103,3,249.0
107,-199,3,249.0
1248,790,3,249.0
7,-105,3,249.0
20,-118,3,249.0
1252,794,3,249.0
1467,990,3,249.0
1253,795,3,249.0
1254,796,3,249.0
1466,989,3,249.0
10,-108,3,249.0
12,-11,3,249.0
93,-186,3,249.0
1395,923,3,249.0
4,-102,3,249.0
539,143,3,249.0
1235,778,3,249.0
1273,812,3,249.0
